Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1730,25.89894295,1730,2.707813263,1730,1.877081633,1730,5.291615009,1730,3.593789339,
1727,25.93357468,1727,2.660872698,1727,1.887962461,1727,5.223963261,1727,3.578063011,
1724,26.04957199,1724,2.610865355,1724,1.811031461,1724,5.105016232,1724,3.614324808,
1721,26.03678131,1721,2.607522249,1721,1.698747635,1721,5.118330002,1721,3.502680302,
1718,25.91975594,1718,2.638151407,1718,1.686131001,1718,5.119109631,1718,3.555463552,
1715,25.90568924,1715,2.723620415,1715,1.693249345,1715,5.178874493,1715,3.490010977,
1712,25.91158676,1712,2.761147499,1712,1.728868842,1712,5.252252102,1712,3.406415462,
1709,26.08460808,1709,2.763609886,1709,1.786285877,1709,5.196084023,1709,3.477087259,
1706,26.13640404,1706,2.795640707,1706,1.765225053,1706,5.211744308,1706,3.394393682,
1703,26.28647423,1703,2.779788733,1703,1.69917202,1703,5.128397942,1703,3.493718147,
1700,26.18324661,1700,2.803211927,1700,1.593083143,1700,5.110047817,1700,3.447467804,
1697,26.23413849,1697,2.797135115,1697,1.636258125,1697,5.121513367,1697,3.475787163,
1694,26.04688644,1694,2.841432571,1694,1.657993555,1694,5.181066513,1694,3.540601492,
1691,26.21785355,1691,2.809334755,1691,1.733237267,1691,5.226415157,1691,3.482743263,
1688,26.2010479,1688,2.748138905,1688,1.815103412,1688,5.196504593,1688,3.550102472,
1685,26.44227982,1685,2.717349052,1685,1.788702011,1685,5.101931572,1685,3.568333387,
1682,26.41614914,1682,2.673115492,1682,1.756185651,1682,4.97252512,1682,3.584392071,
1679,26.49247932,1679,2.650171757,1679,1.635928631,1679,4.938385487,1679,3.585392952,
1676,26.37000465,1676,2.636638641,1676,1.595308304,1676,4.913988113,1676,3.515351534,
1673,26.31703949,1673,2.700199842,1673,1.583968163,1673,4.920086861,1673,3.499480009,
1670,26.35528183,1670,2.745618582,1670,1.604474664,1670,4.916429043,1670,3.404349804,
1667,26.42692375,1667,2.780208349,1667,1.652211905,1667,4.867252827,1667,3.35691762,
1664,26.63478851,1664,2.806271553,1664,1.633223295,1664,4.800679684,1664,3.330050707,
1661,26.61353874,1661,2.780914783,1661,1.621199369,1661,4.674978733,1661,3.214270592,
1658,26.70088768,1658,2.778604031,1658,1.539559007,1658,4.625207901,1658,3.220476151,
1655,26.57076454,1655,2.801654577,1655,1.571318269,1655,4.602294922,1655,3.160192728,
1652,26.57125092,1652,2.822753429,1652,1.583916903,1652,4.624408722,1652,3.136090517,
1649,26.49019432,1649,2.829118252,1649,1.606407523,1649,4.605023861,1649,3.082709312,
1646,26.66107941,1646,2.788236856,1646,1.690722585,1646,4.58042717,1646,3.049922943,
1643,26.7439537,1643,2.735269308,1643,1.665013075,1643,4.509649277,1643,3.029544353,
1640,26.87075424,1640,2.673284292,1640,1.610983372,1640,4.401198387,1640,3.030222178,
1637,26.79003716,1637,2.686214924,1637,1.48780942,1637,4.357241631,1637,2.995905638,
1634,26.88121414,1634,2.695780754,1634,1.486248016,1634,4.302437782,1634,2.982339382,
1631,26.62959671,1631,2.761918783,1631,1.447729826,1631,4.289596081,1631,2.936772346,
1628,26.78331757,1628,2.768914938,1628,1.467057705,1628,4.319231033,1628,2.915966034,
1625,26.7108345,1625,2.8007586,1625,1.560118318,1625,4.280477524,1625,2.897495508,
1622,27.02010918,1622,2.834949732,1622,1.558275461,1622,4.185054302,1622,2.873309135,
1619,26.91283607,1619,2.845836878,1619,1.576513648,1619,4.069690228,1619,2.861702919,
1616,27.08173752,1616,2.813963652,1616,1.492710471,1616,3.978904247,1616,2.864907026,
1613,26.93823051,1613,2.817498207,1613,1.486580491,1613,3.944252491,1613,2.830580711,
1610,26.92782974,1610,2.85839057,1610,1.480094075,1610,3.869906902,1610,2.817372322,
1607,26.85363007,1607,2.841273308,1607,1.470869184,1607,3.870601654,1607,2.760914564,
1604,26.96696281,1604,2.82653594,1604,1.526596427,1604,3.759099483,1604,2.710350513,
1601,27.14021492,1601,2.767865658,1601,1.509345651,1601,3.663702726,1601,2.664246798,
1598,27.16661072,1598,2.700288534,1598,1.452258825,1598,3.534676552,1598,2.60001564,
1595,27.23439407,1595,2.671586275,1595,1.382062316,1595,3.433712959,1595,2.532902956,
1592,27.13346481,1592,2.689687252,1592,1.345532298,1592,3.373499632,1592,2.490450144,
