MnPS3,,Hole,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1415,27.12668419,1415,239.5019836,1415,17.39711571,1415,23.60612869,1415,11.68586349,
1412,27.16188431,1412,240.2658386,1412,16.59690666,1412,22.16521263,1412,11.0449791,
1409,27.47511482,1409,240.4540253,1409,15.704422,1409,20.6997757,1409,10.48310947,
1406,27.56459427,1406,241.9638824,1406,14.99710941,1406,19.31863785,1406,10.01851845,
1403,27.67882729,1403,241.0489349,1403,14.22528744,1403,18.01482201,1403,9.412198067,
1400,27.63955879,1400,240.3388672,1400,13.41586399,1400,16.52006912,1400,8.96056366,
1397,27.52490044,1397,241.667038,1397,12.77852345,1397,15.18216419,1397,8.512181282,
1394,27.93092155,1394,246.0567169,1394,12.34831047,1394,14.20448589,1394,8.209485054,
1391,27.75842857,1391,244.7761993,1391,11.7641573,1391,13.0890131,1391,7.839743137,
1388,27.17444229,1388,242.5827332,1388,10.99057007,1388,11.86779976,1388,7.408988476,
1385,26.99687195,1385,242.0861664,1385,10.49283981,1385,10.80003929,1385,7.068555832,
1382,27.29246902,1382,246.0000916,1382,10.11938858,1382,9.783370018,1382,6.706611633,
1379,27.54860878,1379,248.0189056,1379,9.867834091,1379,8.998916626,1379,6.52581358,
1376,27.54660225,1376,247.0301666,1376,9.434727669,1376,8.242521286,1376,6.170410156,
1373,27.45047188,1373,244.3373718,1373,9.0968256,1373,7.404784679,1373,5.741353512,
1370,27.42299652,1370,244.2619324,1370,8.943256378,1370,6.69880867,1370,5.493221283,
1367,27.81404877,1367,246.8981476,1367,8.840237617,1367,6.202426434,1367,5.201936722,
1364,27.7846508,1364,245.3938904,1364,8.597887039,1364,5.769233704,1364,4.983131886,
1361,27.1530304,1361,241.6706543,1361,8.262551308,1361,5.29066515,1361,4.603643417,
1358,26.70432854,1358,239.9743042,1358,8.009378433,1358,4.91736412,1358,4.463387489,
1355,26.29581451,1355,238.6841278,1355,7.894458771,1355,4.601530552,1355,4.210497856,
1352,26.13528061,1352,237.8886414,1352,7.92252636,1352,4.286278248,1352,4.033982277,
1349,26.38274193,1349,240.3037109,1349,7.978645802,1349,4.0054245,1349,3.859819412,
1346,26.74683571,1346,241.8012848,1346,7.960122108,1346,3.875183582,1346,3.761447191,
1343,27.21733475,1343,244.0205994,1343,8.021168709,1343,3.71673584,1343,3.656796694,
1340,27.49677658,1340,246.3992615,1340,7.99246645,1340,3.608618975,1340,3.627244473,
1337,27.63703156,1337,247.7451782,1337,7.993026733,1337,3.55111146,1337,3.479868174,
1334,27.6594677,1334,248.8329468,1334,7.952317715,1334,3.431689262,1334,3.46348238,
1331,27.56211472,1331,249.7923889,1331,7.889196396,1331,3.315170527,1331,3.368896723,
