calibration,,calibration,,
Wavelength (nm),%T,Wavelength (nm),%T,
874,78.49604797,874,78.51999664,
872,78.39412689,872,78.40817261,
870,78.32043457,870,78.33629608,
868,78.2141037,868,78.23722076,
866,78.11128235,866,78.13319397,
864,78.02388763,864,78.03858185,
862,77.9312439,862,77.94314575,
860,77.82047272,860,77.84767914,
858,77.73060608,858,77.74068451,
856,77.63616943,856,77.65262604,
854,77.54459381,854,77.56119537,
852,77.44437408,852,77.46424103,
850,77.35470581,850,77.36986542,
848,77.26364899,848,77.27596283,
846,77.15418243,846,77.18050385,
844,77.08624268,844,77.10497284,
842,76.99205017,842,77.01395416,
840,76.91643524,840,76.92861176,
838,76.82596588,838,76.85388947,
836,76.74880981,836,76.76183319,
834,76.67453003,834,76.69180298,
832,76.59768677,832,76.61599731,
830,76.52578735,830,76.55117798,
828,76.45806885,828,76.48084259,
826,76.39929962,826,76.41985321,
824,76.32870483,824,76.35858917,
822,76.27355194,822,76.29683685,
820,76.21949005,820,76.23701477,
818,76.16507721,818,76.18738556,
816,76.10781097,816,76.14199066,
814,76.05860901,814,76.07818604,
812,76.02415466,812,76.04071045,
810,75.96984863,810,75.99698639,
808,75.92813873,808,75.95467377,
806,75.8947525,806,75.91448975,
804,75.85295105,804,75.86946869,
802,75.80400848,802,75.8372345,
800,75.76507568,800,75.79099274,
799,83.39400482,799,83.84454346,
798,83.35131836,798,83.78556061,
797,83.34899902,797,83.77331543,
796,83.35730743,796,83.75309753,
795,83.36260223,795,83.76068115,
794,83.35453033,794,83.73111725,
793,83.32614136,793,83.74479675,
792,83.3298111,792,83.71058655,
791,83.32226563,791,83.71720123,
790,83.3287735,790,83.71472931,
789,83.32553101,789,83.7253418,
788,83.31787872,788,83.69091034,
787,83.3006897,787,83.679039,
786,83.28714752,786,83.66678619,
785,83.30175781,785,83.68120575,
784,83.30865479,784,83.69016266,
783,83.29788208,783,83.67134094,
782,83.28061676,782,83.68054199,
781,83.27026367,781,83.65851593,
780,83.29158783,780,83.65288544,
779,83.28819275,779,83.66683197,
778,83.26895905,778,83.64472961,
777,83.28594971,777,83.65103912,
776,83.27899933,776,83.63123322,
775,83.25496674,775,83.61965942,
774,83.24835968,774,83.61561584,
773,83.25295258,773,83.64444733,
772,83.24473572,772,83.62937164,
771,83.24287415,771,83.60870361,
770,83.24158478,770,83.58607483,
769,83.21717834,769,83.5699234,
768,83.21034241,768,83.58559418,
767,83.23683167,767,83.58866882,
766,83.19791412,766,83.59524536,
765,83.19641113,765,83.56817627,
764,83.19080353,764,83.55068207,
763,83.17192841,763,83.53937531,
762,83.18139648,762,83.55596924,
761,83.18663788,761,83.53485107,
760,83.16907501,760,83.51743317,
759,83.14992523,759,83.49653625,
758,83.14118958,758,83.48951721,
757,83.13373566,757,83.46484375,
756,83.14907074,756,83.46471405,
755,83.1266098,755,83.50190735,
754,83.10176849,754,83.46790314,
753,83.08853149,753,83.44235229,
752,83.08529663,752,83.42984009,
751,83.085289,751,83.44410706,
750,83.07550812,750,83.42071533,
749,83.06220245,749,83.4177475,
748,83.03440857,748,83.40328217,
747,83.03795624,747,83.3790741,
746,83.01301575,746,83.35466003,
745,83.01676941,745,83.37270355,
744,83.0177536,744,83.36174774,
743,83.02880859,743,83.35090637,
742,82.97818756,742,83.31876373,
741,82.96844482,741,83.30801392,
740,82.96471405,740,83.29286194,
739,82.94928741,739,83.27872467,
738,82.9500885,738,83.28752136,
737,82.94003296,737,83.27770996,
736,82.92474365,736,83.26242828,
735,82.90100861,735,83.23447418,
734,82.88846588,734,83.22439575,
733,82.8855896,733,83.22898865,
732,82.88025665,732,83.20967865,
731,82.86732483,731,83.18809509,
730,82.84975433,730,83.18678284,
729,82.8477478,729,83.16843414,
728,82.83103943,728,83.17098999,
727,82.81174469,727,83.14407349,
726,82.81771851,726,83.13928986,
725,82.80112457,725,83.10720062,
724,82.77562714,724,83.11763,
723,82.76576233,723,83.06550598,
722,82.77488708,722,83.07455444,
721,82.75293732,721,83.09013367,
720,82.72186279,720,83.05834198,
719,82.72293854,719,83.03629303,
718,82.7038269,718,83.02128601,
717,82.68974304,717,83.02941132,
716,82.68300629,716,83.00603485,
715,82.69667816,715,82.98777008,
714,82.66358185,714,82.95986176,
713,82.6459198,713,82.95601654,
712,82.63072968,712,82.91757965,
711,82.62261963,711,82.91956329,
710,82.61038971,710,82.91753387,
709,82.58992004,709,82.88850403,
708,82.57352448,708,82.87750244,
707,82.5642395,707,82.85792542,
706,82.53940582,706,82.86893463,
705,82.54003906,705,82.83383179,
704,82.52294922,704,82.82204437,
703,82.50215912,703,82.80268097,
702,82.4885025,702,82.78607941,
701,82.48252869,701,82.76848602,
700,82.47285461,700,82.76309204,
699,82.4643631,699,82.75125122,
698,82.43747711,698,82.71896362,
697,82.41788483,697,82.70747375,
696,82.4088974,696,82.70515442,
695,82.39363861,695,82.69758606,
694,82.38632965,694,82.67051697,
693,82.37354279,693,82.64860535,
692,82.34329987,692,82.62569427,
691,82.34004211,691,82.63171387,
