Baseline 100%T,,Hole,,FePS3,,NiPS3,,CrPS4,,MnPS5,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
968,2.610660076,968,98.71871185,968,0.1809874773,968,27.37366867,968,14.12136269,968,52.1475029,
965,2.593245745,965,100.431633,965,0.08638301492,965,27.69511414,965,13.8808012,965,48.4204483,
962,2.553485394,962,101.3484268,962,0.1117544025,962,28.16835594,962,14.21128941,962,48.06298447,
959,2.475964308,959,103.6138077,959,0.1534150392,959,28.76119995,959,14.41680813,959,51.39596558,
956,2.471275806,956,102.0396576,956,0.122946173,956,27.83804512,956,14.27252293,956,52.98412323,
953,2.442797184,953,100.5722656,953,-0.006235905923,953,28.72798157,953,14.14452934,953,53.74692154,
950,2.482768774,950,97.93533325,950,0.04317610338,950,28.63458061,950,13.5468874,950,51.98934174,
947,2.455120087,947,98.76018524,947,0.1213809699,947,30.43065071,947,13.56061077,947,53.68300629,
944,2.433595181,944,99.93645477,944,0.06641444564,944,30.73783302,944,13.25840378,944,53.69080734,
941,2.388206482,941,101.4510193,941,0.05352058634,941,31.48558044,941,13.50331497,941,53.1166153,
938,2.321880341,938,103.1743011,938,-0.01172128506,938,32.12883377,938,13.594697,938,53.64211273,
935,2.300063848,935,102.3631592,935,0.1064270064,935,31.44977379,935,13.51430702,935,55.13096619,
932,2.280078411,932,100.456604,932,0.04027940333,932,32.27684402,932,13.25657082,932,58.38434219,
929,2.295328856,929,98.83644104,929,0.08461175859,929,32.10723877,929,12.80223846,929,56.65345001,
926,2.267103434,926,99.26425171,926,0.02018100768,926,34.00217819,926,12.63751698,926,56.79084778,
923,2.233475208,923,100.446846,923,0.04787388816,923,34.36034012,923,12.24514198,923,56.5545845,
920,2.185450554,920,101.5995941,920,0.04544256255,920,35.32973862,920,12.33639336,920,57.61705017,
917,2.126368046,917,102.2517548,917,-0.03432385623,917,35.96952438,917,12.33277416,917,58.26720047,
914,2.083297253,914,102.642334,914,0.01470769197,914,36.00538254,914,12.15902901,914,59.15831375,
911,2.057448387,911,100.4393616,911,-0.02586060204,911,36.48811722,911,11.87550831,911,62.07866669,
908,2.037450075,908,99.96399689,908,-0.02715430968,908,36.74209976,908,11.46442986,908,62.00286865,
905,2.005319595,905,99.73350525,905,0.02402175404,905,38.29430771,905,11.2702589,905,61.29307175,
902,1.964045882,902,100.7311707,902,-0.09100215137,902,39.03594589,902,11.18210697,902,61.60124969,
899,1.918070197,899,101.5053482,899,0.153150171,899,39.7479744,899,11.0390873,899,62.8601532,
896,1.857491612,896,102.2470245,896,0.07735531032,896,40.55395889,896,10.98785496,896,64.02426147,
893,1.807733655,893,102.6010284,893,0.03849294409,893,40.63073349,893,10.98628902,893,65.29496765,
890,1.76759088,890,101.4285583,890,0.106706962,890,41.12574005,890,10.61377621,890,67.44311523,
887,1.731320262,887,100.9569397,887,0.07391469181,887,41.84801102,887,10.51732254,887,67.96470642,
884,1.687804937,884,100.5442963,884,0.1226081997,884,42.81625366,884,10.52812386,884,67.97586823,
881,1.638547897,881,101.2355576,881,0.06365609169,881,43.57004166,881,10.42860699,881,68.82782745,
878,1.585700393,878,101.5966034,878,-0.02677033097,878,44.15076828,878,10.32904339,878,70.18927002,
875,1.531421065,875,102.0662308,875,0.1392149478,875,44.72073746,875,10.33673859,875,71.24599457,
872,1.478923798,872,102.1068726,872,-0.07653226703,872,44.93758011,872,10.32072449,872,71.92124176,
869,1.434037328,869,101.473465,869,0.05397063866,869,45.44227219,869,10.23594284,869,73.07821655,
866,1.390036345,866,101.3041,866,0.1540605426,866,45.91284561,866,10.22175884,866,73.79579926,
863,1.347801685,863,101.1966095,863,0.09922035038,863,46.51607132,863,10.36220741,863,74.12981415,
860,1.302527189,860,101.2730942,860,-0.08018025756,860,47.29974747,860,10.23332596,860,74.31612396,
