FePS3,,NiPS3,,CrPS4,,MnPS3,,Hole,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1061,1.1216259,1061,0.704261899,1061,0.3756724,1061,1.285435677,1061,2.732358456,
1058,1.118646979,1058,0.7075455785,1058,0.3740600646,1058,1.286400914,1058,2.722079754,
1055,1.111975908,1055,0.7014778852,1055,0.3718466759,1055,1.297919035,1055,2.763247728,
1052,1.076619029,1052,0.6963887215,1052,0.3629655242,1052,1.311502457,1052,2.799570799,
1049,1.0750705,1049,0.634793818,1049,0.3597961664,1049,1.311470628,1049,2.799943924,
1046,1.075644016,1046,0.6501226425,1046,0.3617239296,1046,1.317415357,1046,2.786546946,
1043,1.095891237,1043,0.6518697143,1043,0.3673202991,1043,1.352775812,1043,2.732535362,
1040,1.104469419,1040,0.7079775333,1040,0.3736598492,1040,1.329785466,1040,2.692076921,
1037,1.100702882,1037,0.7027337551,1037,0.3704327047,1037,1.256437659,1037,2.685353756,
1034,1.09483242,1034,0.7056265473,1034,0.37087816,1034,1.239705205,1034,2.710725784,
1031,1.061284304,1031,0.7047851086,1031,0.3601766527,1031,1.240824223,1031,2.751189232,
1028,1.049659252,1028,0.6451685429,1028,0.3622014821,1028,1.328676105,1028,2.753866196,
1025,1.054035902,1025,0.6526986361,1025,0.3615189195,1025,1.378141999,1025,2.735906363,
1022,1.074322581,1022,0.6584441066,1022,0.3612884581,1022,1.311843634,1022,2.692723036,
1019,1.081484675,1019,0.7147321105,1019,0.3686170578,1019,1.270499706,1019,2.63360858,
1016,1.06862843,1016,0.7083296776,1016,0.3684771061,1016,1.234539151,1016,2.63216114,
1013,1.070884466,1013,0.7082933187,1013,0.3645668328,1013,1.274465919,1013,2.641371965,
1010,1.042487621,1010,0.7071636319,1010,0.3578957319,1010,1.276123405,1010,2.684755325,
1007,1.026058197,1007,0.6652635336,1007,0.3620906472,1007,1.317581296,1007,2.679726362,
1004,1.022783518,1004,0.6517539024,1004,0.3545432389,1004,1.289972663,1004,2.661937714,
1001,1.038997889,1001,0.662609756,1001,0.3507822752,1001,1.292634368,1001,2.627673388,
998,1.047895074,998,0.7113000751,998,0.3584248126,998,1.341165781,998,2.555347681,
995,1.032125115,995,0.7108769417,995,0.352314353,995,1.249874592,995,2.55019474,
992,1.037172079,992,0.7188689113,992,0.3445825875,992,1.201537371,992,2.539811134,
989,1.003643513,989,0.712389946,989,0.3503232598,989,1.224573851,989,2.594796658,
986,0.9904029965,986,0.6736079454,986,0.344881475,986,1.333665609,986,2.581255674,
983,0.9919028878,983,0.6653878093,983,0.3406518102,983,1.305828094,983,2.559194565,
980,0.9921826124,980,0.6790655851,980,0.3437832594,980,1.275083661,980,2.532260656,
977,1.007245421,977,0.6965882778,977,0.3328787982,977,1.250111461,977,2.460325956,
974,1.005403638,974,0.7163674831,974,0.3317563236,974,1.218220472,974,2.462233067,
971,0.9990736842,971,0.720118165,971,0.329318285,971,1.273863912,971,2.454355001,
968,0.9746639132,968,0.712529242,968,0.3225958347,968,1.230896831,968,2.502421856,
965,0.9598022103,965,0.6872835159,965,0.3235441148,965,1.247362018,965,2.48038435,
962,0.9493784904,962,0.6737900376,962,0.3131943941,962,1.257773995,962,2.464078903,
959,0.9575477839,959,0.6843909621,959,0.309212625,959,1.294466853,959,2.424073219,
956,0.966537714,956,0.7065085173,956,0.3006086648,956,1.262522101,956,2.352283239,
953,0.95843786,953,0.7244641185,953,0.2920969129,953,1.186525106,953,2.331666231,
950,0.9488562942,950,0.7171607614,950,0.2894240618,950,1.192111969,950,2.31495595,
947,0.9289108515,947,0.7171226144,947,0.28449139,947,1.214969397,947,2.346806288,
944,0.9115846157,944,0.6892353296,944,0.2772524357,944,1.24248445,944,2.321373701,
941,0.9025805593,941,0.6811651587,941,0.2711650133,941,1.212067485,941,2.304124355,
938,0.9026078582,938,0.6859576106,938,0.2645753026,938,1.211145043,938,2.264695406,
935,0.9127674699,935,0.6991717219,935,0.2566276789,935,1.234363675,935,2.196179628,
932,0.9041279554,932,0.7198521495,932,0.2475714087,932,1.184160948,932,2.166378736,
929,0.8930724859,929,0.7154402733,929,0.2453489304,929,1.15181613,929,2.147846222,
926,0.8700819612,926,0.7126247883,926,0.2369495332,926,1.157466173,926,2.156185627,
923,0.8477632999,923,0.6912415028,923,0.2297398895,923,1.182756424,923,2.131895542,
920,0.8366782069,920,0.6825223565,920,0.2250456959,920,1.179586768,920,2.098067999,
917,0.8290442824,917,0.6785236597,917,0.2163959891,917,1.1593467,917,2.062089682,
914,0.8266991973,914,0.6823498011,914,0.2095439434,914,1.158668518,914,1.99364531,
911,0.814281106,911,0.6928693652,911,0.2016354799,911,1.139699936,911,1.957015157,
908,0.7964584231,908,0.686511457,908,0.1962837279,908,1.097239256,908,1.92111969,
905,0.7750389576,905,0.6809355617,905,0.1917974055,905,1.087688327,905,1.903019667,
902,0.7497087121,902,0.6585684419,902,0.1839529574,902,1.103785992,902,1.873639464,
899,0.7348724604,899,0.6468783617,899,0.1790431738,899,1.108446479,899,1.832217932,
896,0.7220891118,896,0.6383007765,896,0.173628509,896,1.083861113,896,1.787336588,
893,0.7141233683,893,0.6375761032,893,0.1673618853,893,1.070561767,893,1.728929996,
890,0.696213305,890,0.6401605606,890,0.160269618,890,1.047126651,890,1.683932781,
887,0.6769121885,887,0.6314994693,887,0.1586105078,887,1.015958905,887,1.641501307,
884,0.65933007,884,0.6208204031,884,0.1506340355,884,0.9971438646,884,1.60139966,
881,0.6323542595,881,0.6045049429,881,0.1453689337,881,0.9919671416,881,1.561387777,
878,0.6170303822,878,0.5897652507,878,0.1410254687,878,0.983846724,878,1.512931705,
875,0.5987711549,875,0.579122901,875,0.1373739988,875,0.948769033,875,1.469500661,
872,0.5822989345,872,0.5704964995,872,0.1325778365,872,0.9274025559,872,1.412831903,
869,0.5651531219,869,0.5672330856,869,0.1260577589,869,0.899674952,869,1.365144014,
866,0.5443524122,866,0.553278923,866,0.1226547062,866,0.8689943552,866,1.318737745,
863,0.5275261402,863,0.5421823859,863,0.116578199,863,0.8475295305,863,1.281182885,
860,0.5081063509,860,0.5240177512,860,0.1130467281,860,0.8232316971,860,1.241994619,
857,0.4918387234,857,0.5067675114,857,0.1127287075,857,0.8005157113,857,1.200165987,
854,0.4726232886,854,0.4917931855,854,0.1099981368,854,0.7717419863,854,1.162774563,
851,0.4613507986,851,0.4790335,851,0.1033088192,851,0.7489587069,851,1.12342298,
848,0.4507880211,848,0.4693948328,848,0.1029189229,848,0.7286356091,848,1.092355609,
845,0.4374347627,845,0.4541919529,845,0.09835587442,845,0.7053797245,845,1.057368279,
842,0.424798429,842,0.4430409074,842,0.09586576372,842,0.6834899783,842,1.034310222,
839,0.4108272493,839,0.4285828173,839,0.09295386821,839,0.6642357707,839,1.008475423,
836,0.4018316567,836,0.417051971,836,0.09206311405,836,0.6507422328,836,0.9880488515,
833,0.3939709961,833,0.4076480865,833,0.08985841274,833,0.6383119822,833,0.9655380845,
830,0.3867734671,830,0.398920387,830,0.09039501846,830,0.6224893332,830,0.9434307814,
827,0.3783580363,827,0.3928974271,827,0.08382735401,827,0.6116756797,827,0.9229876995,
824,0.3735978007,824,0.3866955638,824,0.08372370154,824,0.5961233974,824,0.9044060707,
821,0.3691653907,821,0.3792002797,821,0.0859650299,821,0.5840051174,821,0.8925722241,
818,0.3605437875,818,0.3736081421,818,0.08421663195,818,0.5773900747,818,0.8811692595,
815,0.3549632728,815,0.3653749228,815,0.0828287974,815,0.5686770678,815,0.86804533,
812,0.3480812609,812,0.3609029651,812,0.08154225349,812,0.5641245246,812,0.8555294275,
809,0.3448014557,809,0.3543832898,809,0.08101182431,809,0.5576723218,809,0.839943707,
806,0.339484483,806,0.3515302837,806,0.07410860062,806,0.5451868176,806,0.8242759705,
803,0.3349374831,803,0.3468118012,803,0.07561802119,803,0.5352669358,803,0.8084918261,
800,0.328696996,800,0.34043625,800,0.07534829527,800,0.5248369575,800,0.7934590578,
798,0.5419770479,798,0.5541548729,798,0.1335229278,798,0.873287797,798,1.339935184,
796,0.5360445976,796,0.5477801561,796,0.1327352226,796,0.8705765009,796,1.337248564,
794,0.5497812033,794,0.5543686152,794,0.1340131611,794,0.8568351865,794,1.323341727,
792,0.5336931348,792,0.5499613285,792,0.1321890205,792,0.8725723028,792,1.356427193,
790,0.5398494601,790,0.5421357751,790,0.1342433691,790,0.8626177907,790,1.316230893,
788,0.5462287664,788,0.5588595867,788,0.1312686205,788,0.8811622858,788,1.335764885,
786,0.5352848768,786,0.5477287173,786,0.1334308088,786,0.8557370901,786,1.339482069,
784,0.5447016358,784,0.547514081,784,0.1341325492,784,0.8551914096,784,1.326159716,
782,0.5358163714,782,0.5497044921,782,0.1314637661,782,0.8686572313,782,1.34223175,
780,0.5454720855,780,0.5483216643,780,0.1341119707,780,0.8637711406,780,1.316340685,
778,0.5355194807,778,0.550750196,778,0.1315879971,778,0.8757390976,778,1.355056882,
776,0.5389472842,776,0.5409671664,776,0.1355098188,776,0.8426586986,776,1.315045834,
774,0.5405535102,774,0.5562829971,774,0.1311242878,774,0.8616237044,774,1.342594981,
772,0.5405880213,772,0.546269536,772,0.135251388,772,0.8605546951,772,1.323153377,
770,0.5359182358,770,0.5501781106,770,0.1312240511,770,0.8661233187,770,1.349389791,
768,0.5378448963,768,0.5412873626,768,0.1346448362,768,0.8413209319,768,1.316129088,
766,0.5395866632,766,0.5563879609,766,0.1305294037,766,0.8681878448,766,1.344508529,
764,0.533282578,764,0.5404551625,764,0.1353587657,764,0.8580898046,764,1.323759317,
762,0.5359576344,762,0.546977222,762,0.1312263906,762,0.8637474179,762,1.33926487,
760,0.5379132032,760,0.5433630943,760,0.1342584193,760,0.8292959332,760,1.310682535,
758,0.5388672948,758,0.5526083708,758,0.1316912174,758,0.8605195284,758,1.347000241,
756,0.5339107513,756,0.5391990542,756,0.136376366,756,0.8597074747,756,1.320476174,
754,0.5336300135,754,0.546657145,754,0.1307945698,754,0.8528655171,754,1.340004921,
752,0.5400342941,752,0.5464634895,752,0.1340780705,752,0.8300953507,752,1.315632224,
750,0.5308030844,750,0.5444639325,750,0.133213833,750,0.8559155464,750,1.343582153,
748,0.5345113277,748,0.5415444374,748,0.132153511,748,0.8518421054,748,1.323130727,
746,0.5326654315,746,0.5431604385,746,0.1333922297,746,0.8254580498,746,1.319155693,
744,0.53595227,744,0.5488440394,744,0.1318322122,744,0.8426579833,744,1.341409802,
742,0.5315672159,742,0.5370157957,742,0.1353858113,742,0.8486944437,742,1.316560745,
740,0.5309236646,740,0.5404719114,740,0.1304445416,740,0.839674294,740,1.331967235,
738,0.537199676,738,0.5458095074,738,0.1329190135,738,0.8211830854,738,1.317798495,
736,0.5288664103,736,0.5414064527,736,0.1342586577,736,0.8344563842,736,1.326739311,
734,0.5292536616,734,0.539527297,734,0.1316043437,734,0.8484942913,734,1.334879041,
732,0.5337325335,732,0.5428167582,732,0.1332404763,732,0.8256249428,732,1.310239911,
730,0.5311365724,730,0.5414957404,730,0.133268401,730,0.8250015974,730,1.328014255,
728,0.5267454982,728,0.5378930569,728,0.130667448,728,0.8463611007,728,1.335511088,
726,0.5298794508,726,0.5360974669,726,0.1324603856,726,0.8227564096,726,1.307904959,
724,0.5305321217,724,0.5398954749,724,0.1329321116,724,0.813814342,724,1.315067291,
722,0.5284934044,722,0.5412535071,722,0.1310933083,722,0.8375108242,722,1.330029011,
720,0.5272400975,720,0.5348871946,720,0.1325062662,720,0.8244757652,720,1.311172009,
718,0.5303753018,718,0.5389568806,718,0.1330404282,718,0.8097685575,718,1.303322315,
716,0.529584825,716,0.5409228802,716,0.1313791424,716,0.8198673725,716,1.323679686,
714,0.5258277655,714,0.5350177884,714,0.130974561,714,0.8222248554,714,1.319985986,
712,0.5254973769,712,0.5342736244,712,0.1323845983,712,0.8047630787,712,1.298839569,
710,0.5290876627,710,0.5398647785,710,0.1323511153,710,0.8069630861,710,1.305617094,
708,0.5268505216,708,0.5380535722,708,0.1311381608,708,0.8094371557,708,1.318647027,
706,0.5240841508,706,0.5317561626,706,0.1306743771,706,0.7988014221,706,1.313784361,
704,0.5271969438,704,0.535895586,704,0.1304739863,704,0.7952979803,704,1.296595693,
702,0.5278964639,702,0.5374455452,702,0.1308539957,702,0.7938733101,702,1.302847862,
700,0.5237294436,700,0.5329085588,700,0.1289791614,700,0.7914415598,700,1.310109973,
698,0.523135066,698,0.5312719345,698,0.1269831061,698,0.7918917537,698,1.302794456,
696,0.5264089704,696,0.5369198322,696,0.1263058037,696,0.7909897566,696,1.299983144,
694,0.5252736807,694,0.5367071629,694,0.1280577332,694,0.7744566798,694,1.30518353,
692,0.5216661096,692,0.5297761559,692,0.1283794791,692,0.7808075547,692,1.301494479,
690,0.5249978304,690,0.5308249593,690,0.1265293658,690,0.7865302563,690,1.293514609,
688,0.5262430906,688,0.5316451788,688,0.1263833046,688,0.7695426941,688,1.300019026,
686,0.5217495561,686,0.5273365974,686,0.1273864955,686,0.7722740769,686,1.302353263,
684,0.5206313729,684,0.5246055722,684,0.1261863261,684,0.7815361023,684,1.292554379,
682,0.5249119997,682,0.5300096273,682,0.125730142,682,0.7636168599,682,1.289707184,
680,0.5241397023,680,0.5304433703,680,0.1268198788,680,0.7601151466,680,1.296688199,
678,0.5196419358,678,0.5252072811,678,0.1269441843,678,0.7708637118,678,1.294751525,
676,0.5219650269,676,0.5255453587,676,0.1252127886,676,0.7596715093,676,1.283201218,
674,0.522754848,674,0.5299218297,674,0.1254279613,674,0.7519663572,674,1.286909938,
672,0.519507587,672,0.5265651941,672,0.1261516213,672,0.7648768425,672,1.291493177,
670,0.5174379945,670,0.5222136974,670,0.1259080321,670,0.7536858916,670,1.281081319,
668,0.5206068754,668,0.5263701677,668,0.1244538352,668,0.7485879064,668,1.276331902,
666,0.5208163261,666,0.5262644887,666,0.1252143234,666,0.7486296892,666,1.28387785,
664,0.5162928104,664,0.5195962787,664,0.1253911406,664,0.7498822808,664,1.282168031,
662,0.5177725554,662,0.5204096437,662,0.1240993589,662,0.7514056563,662,1.270712852,
660,0.5190566778,660,0.5242323875,660,0.1234706119,660,0.7388680577,660,1.272639751,
658,0.5152961016,658,0.5210977197,658,0.1245622039,658,0.7385907769,658,1.276236057,
656,0.5128147006,656,0.5163010955,656,0.1238886416,656,0.7453007698,656,1.268038869,
654,0.5162997842,654,0.521210134,654,0.1225658208,654,0.7328095436,654,1.261974216,
652,0.5154123306,652,0.5206973553,652,0.1231514513,652,0.7291983962,652,1.269358635,
650,0.5107015371,650,0.5127339959,650,0.1233892366,650,0.7355985641,650,1.266160369,
648,0.511354208,648,0.5135976076,648,0.1224866509,648,0.7285563946,648,1.254871726,
646,0.513066113,646,0.5191397667,646,0.1224110574,646,0.7271716595,646,1.254296064,
644,0.5096375346,644,0.5175061226,644,0.1227795258,644,0.7247575521,644,1.261721611,
642,0.5076624751,642,0.5118471384,642,0.122548081,642,0.7284065485,642,1.256351233,
640,0.5133384466,640,0.5176420808,640,0.1218336374,640,0.7314966321,640,1.254293561,
638,0.5154366493,638,0.5204298496,638,0.1225299984,638,0.7249573469,638,1.264348149,
636,0.5128769279,636,0.5175742507,636,0.1229602396,636,0.7388477921,636,1.268072724,
634,0.5147921443,634,0.5210437775,634,0.1225714236,634,0.740552485,634,1.263754249,
632,0.5198389292,632,0.5286861062,632,0.1231404617,632,0.7383149862,632,1.27227366,
630,0.5220048428,630,0.5301014781,630,0.1249351501,630,0.7531660795,630,1.287387133,
628,0.5242564678,628,0.527867198,628,0.1256585866,628,0.7543991208,628,1.29121995,
626,0.5307164192,626,0.5368949175,626,0.1250075102,626,0.7631654143,626,1.289612055,
624,0.531940043,624,0.5400323272,624,0.1265844703,624,0.7615301013,624,1.302256107,
622,0.5309928656,622,0.5358449817,622,0.1279023737,622,0.7734803557,622,1.310160518,
620,0.5328950286,620,0.5371105075,620,0.1265140176,620,0.7816489935,620,1.303737402,
618,0.5336335301,618,0.5434602499,618,0.126875639,618,0.7667444944,618,1.301866531,
616,0.5322801471,616,0.5400061011,616,0.1280944794,616,0.7812474966,616,1.309467196,
614,0.527933538,614,0.5317531824,614,0.12703152,614,0.7791213989,614,1.304257512,
