Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1478,197.3211517,1478,87.43333435,1478,125.1228561,1478,179.6674805,1478,99.72887421,
1477,196.9185638,1477,87.23940277,1477,125.2979889,1477,179.5254822,1477,100.0284195,
1476,196.7272339,1476,87.07167816,1476,125.5525742,1476,179.5879669,1476,100.064621,
1475,196.618454,1475,87.0526886,1475,125.5744476,1475,179.9629974,1475,99.95960999,
1474,196.9223785,1474,87.11575317,1474,125.5730133,1474,180.0649719,1474,99.77100372,
1473,197.1239624,1473,87.25231934,1473,125.2505188,1473,180.0340576,1473,99.41889954,
1472,197.0437927,1472,87.24443054,1472,124.9372253,1472,179.8309174,1472,99.34681702,
1471,196.932373,1471,87.1763916,1471,124.8945847,1471,179.2700958,1471,99.38794708,
1470,196.501236,1470,86.9896698,1470,125.0369415,1470,179.0812073,1470,99.63430786,
1469,196.2484894,1469,86.73284149,1469,125.2649765,1469,179.0397339,1469,99.66196442,
1468,196.1226807,1468,86.66937256,1468,125.2097244,1468,179.3401184,1468,99.60466766,
1467,196.3380737,1467,86.6749115,1467,125.1094971,1467,179.3566284,1467,99.43256378,
1466,196.5424042,1466,86.78432465,1466,124.8199081,1466,179.2709808,1466,99.06561279,
1465,196.5650482,1465,86.77264404,1465,124.5133286,1465,179.1803436,1465,98.98639679,
1464,196.5591888,1464,86.72808075,1464,124.4683838,1464,178.6747742,1464,99.01320648,
1463,196.2209167,1463,86.56350708,1463,124.5968552,1463,178.4802704,1463,99.30917358,
1462,196.0567169,1462,86.29370117,1462,124.89431,1462,178.4404144,1462,99.42651367,
1461,196.0092926,1461,86.20706177,1461,124.858223,1461,178.7521057,1461,99.39682007,
1460,196.1955261,1460,86.19129181,1460,124.7908096,1460,178.8530884,1460,99.28235626,
1459,196.3840179,1459,86.28839111,1459,124.4775543,1459,178.7245789,1459,98.92774963,
1458,196.3149719,1458,86.26016235,1458,124.0830688,1458,178.4742432,1458,98.84593201,
1457,196.236908,1457,86.2047348,1457,124.01651,1457,177.8752747,1457,98.86658478,
1456,195.9399872,1456,86.05381012,1456,124.1443634,1456,177.6990967,1456,99.15579224,
1455,195.7660828,1455,85.81036377,1455,124.4703522,1455,177.6983337,1455,99.27127075,
1454,195.7156219,1454,85.72006989,1454,124.4401093,1454,177.9685364,1454,99.25534821,
1453,195.9187927,1453,85.7149353,1453,124.3601227,1453,178.0500946,1453,99.18054962,
1452,196.1557312,1452,85.89421844,1452,124.1564484,1452,177.9985962,1452,98.89644623,
1451,196.1035004,1451,85.922966,1451,123.7889175,1451,177.8493042,1451,98.81193542,
1450,196.0705566,1450,85.85604858,1450,123.7045517,1450,177.333313,1450,98.79896545,
1449,195.7917786,1449,85.72225952,1449,123.774147,1449,177.0764771,1449,99.0639267,
1448,195.5390778,1448,85.47257233,1448,124.0715866,1448,176.9820404,1448,99.20380402,
1447,195.4987946,1447,85.39078522,1447,124.0807648,1447,177.2128601,1447,99.17565155,
1446,195.6273956,1446,85.41046143,1446,124.0631943,1446,177.435257,1446,99.07067871,
1445,195.9412537,1445,85.60165405,1445,123.8929138,1445,177.4364929,1445,98.72860718,
1444,195.8781128,1444,85.63963318,1444,123.4766159,1444,177.3155823,1444,98.62226868,
1443,195.8043213,1443,85.61677551,1443,123.4020615,1443,176.8208923,1443,98.6285553,
1442,195.5285797,1442,85.53462982,1442,123.4897766,1442,176.5401459,1442,98.84140015,
1441,195.1686401,1441,85.26080322,1441,123.7724762,1441,176.4753265,1441,98.90544128,
1440,195.0070801,1440,85.1464386,1440,123.770462,1440,176.6480255,1440,98.80897522,
1439,195.0743561,1439,85.13778687,1439,123.7098465,1439,176.7899933,1439,98.72719574,
1438,195.3813324,1438,85.32767487,1438,123.5481262,1438,176.7419281,1438,98.38718414,
1437,195.2654419,1437,85.3666687,1437,123.1264572,1437,176.5812378,1437,98.20301819,
1436,195.160675,1436,85.30341339,1436,122.955574,1436,176.0428009,1436,98.07348633,
1435,194.8947449,1435,85.14582062,1435,122.9081039,1435,175.5927582,1435,98.22483063,
1434,194.5022736,1434,84.8427887,1434,123.1991043,1434,175.4326172,1434,98.39989471,
1433,194.3999481,1433,84.73876953,1433,123.2937927,1433,175.5880585,1433,98.39054108,
1432,194.4307098,1432,84.68331146,1432,123.2238388,1432,175.821991,1432,98.2561264,
1431,194.7518921,1431,84.77122498,1431,123.0240784,1431,175.7367706,1431,97.93239594,
1430,194.8590546,1430,84.81184387,1430,122.5971222,1430,175.6125336,1430,97.82336426,
1429,194.8379211,1429,84.77931213,1429,122.5309753,1429,175.1875763,1429,97.86916351,
1428,194.6412354,1428,84.67507935,1428,122.574913,1428,174.8041077,1428,98.06838989,
1427,194.3029938,1427,84.38247681,1427,122.8570251,1427,174.6513824,1427,98.21263885,
1426,194.2176056,1426,84.26160431,1426,122.9499207,1426,174.7644958,1426,98.22231293,
1425,194.3386841,1425,84.22055817,1425,122.923172,1425,175.0389404,1425,98.26099396,
1424,194.6895447,1424,84.28603363,1424,122.7641907,1424,174.9412079,1424,98.03710175,
1423,194.6644897,1423,84.26563263,1423,122.2822037,1423,174.7405548,1423,97.82015991,
1422,194.5358582,1422,84.10718536,1422,122.0569229,1422,174.1399384,1422,97.73152161,
1421,194.3482819,1421,83.91398621,1421,121.9697495,1421,173.5957336,1421,97.90010834,
1420,193.996109,1420,83.62994385,1420,122.2606201,1420,173.4849396,1420,98.25392151,
1419,194.015625,1419,83.53826141,1419,122.5149536,1419,173.6905518,1419,98.32500458,
1418,194.2644653,1418,83.5311203,1418,122.5802917,1418,174.1392822,1418,98.3015976,
1417,194.8524017,1417,83.62966156,1417,122.4891205,1417,174.2704926,1417,98.13854218,
1416,195.1705933,1416,83.69312286,1416,122.1304626,1416,174.2367401,1416,98.11650848,
1415,195.3500214,1415,83.68560791,1415,122.1439133,1415,173.9920197,1415,98.30931091,
1414,195.1954956,1414,83.60508728,1414,122.239212,1414,173.6356506,1414,98.49957275,
1413,194.6099548,1413,83.30847931,1413,122.4229202,1413,173.529953,1413,98.68372345,
1412,194.5795898,1412,83.11308289,1412,122.4641647,1412,173.6796112,1412,98.73582458,
1411,194.8122253,1411,83.05149078,1411,122.5066071,1411,174.0676422,1411,98.87128448,
1410,195.2560425,1410,83.08868408,1410,122.4953156,1410,174.1120148,1410,98.70155334,
1409,195.3681183,1409,83.10800171,1409,122.0258484,1409,173.9438477,1409,98.36164856,
1408,195.3540955,1408,82.99707794,1408,121.7770233,1408,173.5579376,1408,98.22431183,
1407,195.4980774,1407,83.02159882,1407,121.9428635,1407,173.3862,1407,98.53768921,
1406,195.3850098,1406,83.009758,1406,122.5194473,1406,173.7733307,1406,99.08808136,
1405,195.3777924,1405,82.96089172,1405,122.8903503,1405,174.1290283,1405,99.12832642,
1404,195.5805359,1404,82.94185638,1404,122.8956375,1404,174.5870056,1404,98.96433258,
1403,196.1111603,1403,83.07221222,1403,122.9432068,1403,174.836319,1403,98.74971771,
1402,196.1627655,1402,83.26535797,1402,122.7116928,1402,175.0384521,1402,98.58732605,
1401,195.7179871,1401,83.18894196,1401,122.4530487,1401,174.8040009,1401,98.53543091,
1400,195.3080902,1400,83.02274323,1400,122.2797852,1400,174.1895142,1400,98.44022369,
1399,194.6826019,1399,82.6394043,1399,122.1392136,1399,173.8304291,1399,98.46694946,
1398,194.4165039,1398,82.23880768,1398,121.9474411,1398,173.4745789,1398,98.35281372,
1397,194.2717133,1397,81.94572449,1397,121.5999146,1397,173.2823639,1397,98.22331238,
1396,194.5668182,1396,81.85484314,1396,121.4616547,1396,173.0503082,1396,97.97232819,
1395,194.952301,1395,82.05873871,1395,121.2452774,1395,173.1563263,1395,97.68078613,
1394,195.4238434,1394,82.26545715,1394,121.3335648,1394,173.4104309,1394,97.83302307,
1393,196.345459,1393,82.61891937,1393,121.8528061,1393,173.8157349,1393,98.38874054,
1392,197.085434,1392,82.91301727,1392,122.7318726,1392,174.676178,1392,99.22731781,
1391,197.6536713,1391,83.12852478,1391,123.5836639,1391,175.4897003,1391,99.54888153,
1390,197.8851624,1390,83.40526581,1390,123.9822769,1390,176.5427246,1390,99.59535217,
1389,197.9293518,1389,83.63860321,1389,124.077858,1389,177.0475922,1389,99.4631424,
1388,197.639267,1388,83.90278625,1388,123.8636017,1388,177.3882446,1388,99.20704651,
1387,196.9573212,1387,83.89573669,1387,123.5140686,1387,177.2128448,1387,99.04423523,
1386,196.1351624,1386,83.59655762,1386,122.9993973,1386,176.2097626,1386,98.56804657,
1385,195.2113953,1385,83.09761047,1385,122.5093613,1385,175.2801666,1385,98.2106781,
1384,194.7752533,1384,82.64199829,1384,122.3266602,1384,174.5755615,1384,97.8380661,
1383,194.6580353,1383,82.48825836,1383,122.2238159,1383,174.6251984,1383,97.65744019,
1382,195.0722656,1382,82.57633972,1382,122.20858,1382,174.8424072,1382,97.58569336,
1381,195.9802094,1381,82.88706207,1381,122.0431595,1381,175.0270081,1381,97.42601776,
1380,197.1159515,1380,83.16606903,1380,122.151123,1380,175.3737183,1380,97.72657013,
1379,198.1761169,1379,83.5173111,1379,122.6789703,1379,175.5899353,1379,98.29290009,
1378,198.712616,1378,83.72722626,1378,123.3297348,1378,176.2061768,1378,99.08878326,
1377,198.9698486,1377,83.80787659,1377,124.049202,1377,176.7766113,1377,99.56549835,
1376,199.2255402,1376,84.12971497,1376,124.5637207,1376,177.8457642,1376,99.87752533,
1375,199.4617767,1375,84.49874115,1375,124.9203339,1375,178.7472839,1375,99.97570038,
1374,199.3563843,1374,84.81336975,1374,124.7475281,1374,179.0032043,1374,99.54407501,
1373,198.9792328,1373,84.90645599,1373,124.3516464,1373,178.8793945,1373,99.17547607,
1372,198.7515869,1372,84.86547852,1372,124.1982727,1372,178.2067871,1372,98.88566589,
1371,197.9237823,1371,84.63705444,1371,124.019577,1371,177.6994629,1371,98.80187225,
1370,197.1555176,1370,84.2579422,1370,124.0609055,1370,177.2210388,1370,98.55635071,
1369,196.9265747,1369,84.20764923,1369,123.9948502,1369,177.3445587,1369,98.29375458,
1368,197.2478333,1368,84.34251404,1368,124.0683289,1368,177.5988007,1368,98.04421234,
1367,197.8544006,1367,84.81046295,1367,124.178566,1367,178.0150604,1367,97.73529053,
1366,198.4696655,1366,85.28569031,1366,124.4207382,1366,178.6261749,1366,97.76573181,
1365,199.1318054,1365,85.7386322,1365,125.0090485,1365,178.9460602,1365,97.96239471,
1364,199.2348328,1364,86.0818634,1364,125.6532516,1364,179.5893097,1364,98.39325714,
1363,199.0308228,1363,86.23426819,1363,126.5187149,1363,180.2889404,1363,98.61666107,
1362,198.7129517,1362,86.41130066,1362,126.8296127,1362,181.045578,1362,98.45751953,
1361,198.0747833,1361,86.50834656,1361,126.8106308,1361,181.3997192,1361,98.01533508,
1360,197.58255,1360,86.74615479,1360,126.5731583,1360,181.3515015,1360,97.18248749,
1359,196.8210754,1359,86.82274628,1359,126.1051407,1359,181.1504517,1359,96.49981689,
1358,195.9857635,1358,86.77643585,1358,125.9253769,1358,180.4521484,1358,95.86793518,
1357,195.2967834,1357,86.7302475,1357,125.9502869,1357,180.1079407,1357,95.50060272,
