Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1701,148.5836182,1701,76.96845245,1701,109.4123154,1701,144.5706787,1701,78.6865387,
1700,148.9561157,1700,77.31505585,1700,109.7824097,1700,144.7496185,1700,78.94134521,
1699,149.5697632,1699,77.40421295,1699,109.9914398,1699,145.294693,1699,79.27051544,
1698,150.0035553,1698,77.63799286,1698,110.3963242,1698,145.4879608,1698,79.55056,
1697,150.5213165,1697,77.78885651,1697,110.5035172,1697,146.0317841,1697,79.83310699,
1696,150.8562622,1696,77.91056824,1696,110.9356995,1696,146.155304,1696,80.12921906,
1695,151.2939606,1695,78.1060791,1695,111.0203629,1695,146.6208801,1695,80.31859589,
1694,151.7087097,1694,78.19095612,1694,111.3319855,1694,146.8631439,1694,80.65238953,
1693,151.9794159,1693,78.40898132,1693,111.4414825,1693,147.0733643,1693,80.77980804,
1692,152.4304504,1692,78.45265198,1692,111.7536926,1692,147.4303131,1692,81.08135986,
1691,152.6338654,1691,78.67830658,1691,111.8512497,1691,147.5007629,1691,81.1783905,
1690,153.042038,1690,78.6999588,1690,112.016449,1690,147.9885101,1690,81.45061493,
1689,153.1220856,1689,78.87385559,1689,112.2696304,1689,147.9124146,1689,81.56199646,
1688,153.5497131,1688,78.91978455,1688,112.2584229,1688,148.3087463,1688,81.70959473,
1687,153.697052,1687,79.05187988,1687,112.5489349,1687,148.3924408,1687,81.93711853,
1686,153.9645691,1686,79.19667816,1686,112.6268616,1686,148.6382599,1686,81.99069977,
1685,154.2155609,1685,79.22027588,1685,112.8288651,1685,148.7233429,1685,82.17357635,
1684,154.3408966,1684,79.34973907,1684,112.8172607,1684,148.9150238,1684,82.21740723,
1683,154.5950012,1683,79.29446411,1683,113.0296097,1683,149.121994,1683,82.49629974,
1682,154.6036224,1682,79.52805328,1682,113.1763611,1682,149.1885986,1682,82.48216248,
1681,155.0019073,1681,79.43776703,1681,113.274147,1681,149.5666962,1681,82.69352722,
1680,155.0801544,1680,79.60857391,1680,113.399231,1680,149.4473724,1680,82.72947693,
1679,155.4090729,1679,79.63598633,1679,113.4235992,1679,149.8236847,1679,82.84657288,
1678,155.4645233,1678,79.74839783,1678,113.6635208,1678,149.7034149,1678,82.91983795,
1677,155.6098175,1677,79.80226898,1677,113.5686035,1677,150.0116272,1677,82.96387482,
1676,155.7429047,1676,79.84301758,1676,113.8592148,1676,150.0134583,1676,83.11193848,
1675,155.8734589,1675,79.99546814,1675,113.7967834,1675,150.1468353,1675,83.08408356,
1674,156.1542511,1674,79.94560242,1674,113.9802322,1674,150.3106537,1674,83.30044556,
1673,156.1122589,1673,80.12805176,1673,113.9590302,1673,150.3052521,1673,83.25069427,
1672,156.4068909,1672,80.05580139,1672,114.0721054,1672,150.5183105,1672,83.40722656,
1671,156.3947906,1671,80.21541595,1671,114.1693115,1671,150.3552094,1671,83.37036133,
1670,156.582428,1670,80.14929199,1670,114.1611786,1670,150.7219849,1670,83.50758362,
1669,156.6322937,1669,80.28878784,1669,114.3459167,1669,150.5375061,1669,83.56616974,
1668,156.8247986,1668,80.32706451,1668,114.2872467,1668,150.8157043,1668,83.58093262,
1667,156.9707947,1667,80.34311676,1667,114.4951553,1667,150.7850647,1667,83.70637512,
1666,156.9958649,1666,80.45614624,1666,114.3715591,1666,150.9223633,1666,83.67961884,
1665,157.1665344,1665,80.42214966,1665,114.5875092,1665,150.9264069,1665,83.79257202,
1664,157.1438293,1664,80.57712555,1664,114.5507965,1664,150.9414825,1664,83.71604919,
1663,157.3625946,1663,80.49394226,1663,114.6377945,1663,151.1336365,1663,83.90246582,
1662,157.3064575,1662,80.67233276,1662,114.6927032,1662,151.0103455,1662,83.83805847,
1661,157.594635,1661,80.6295929,1661,114.7593536,1661,151.3377838,1661,83.94855499,
1660,157.577652,1660,80.74761963,1660,114.8253555,1660,151.1317902,1660,83.93332672,
1659,157.6622772,1659,80.73316193,1659,114.7582321,1659,151.4656067,1659,83.98181915,
1658,157.7808533,1658,80.78547668,1658,115.0025482,1658,151.3114166,1658,84.01073456,
1657,157.8051147,1657,80.85118103,1657,114.8540878,1657,151.4936829,1657,84.0020752,
1656,157.9576874,1656,80.82228088,1656,115.0389557,1656,151.5036926,1656,84.14852905,
1655,157.9612579,1655,81.02561951,1655,114.9578247,1655,151.5040741,1655,84.0695343,
1654,158.2142334,1654,80.92338562,1654,115.1155624,1654,151.6313019,1654,84.18252563,
1653,158.0862122,1653,81.04825592,1653,115.0615311,1653,151.4818878,1653,84.12588501,
1652,158.3052521,1652,81.04391479,1652,115.1091614,1652,151.785965,1652,84.24091339,
1651,158.2521973,1651,81.15873718,1651,115.2630081,1651,151.4873199,1651,84.19735718,
1650,158.390686,1650,81.10340118,1650,115.1476135,1650,151.8020935,1650,84.27381897,
1649,158.4580078,1649,81.21821594,1649,115.3695679,1649,151.7241669,1649,84.31266022,
1648,158.50914,1648,81.27302551,1648,115.2047729,1648,151.7990112,1648,84.27999115,
1647,158.6883392,1647,81.23287964,1647,115.4377899,1647,151.7273102,1647,84.34303284,
1646,158.5714569,1646,81.37438202,1646,115.2770996,1646,151.7194061,1646,84.28144836,
1645,158.7610321,1645,81.26966858,1645,115.4434204,1645,151.8755188,1645,84.39771271,
1644,158.682724,1644,81.45600891,1644,115.4405594,1644,151.724823,1644,84.31182098,
1643,158.8743286,1643,81.38928986,1643,115.4351807,1643,151.9328461,1643,84.44043732,
1642,158.8679199,1642,81.47281647,1642,115.5092621,1642,151.7485962,1642,84.38331604,
1641,159.0295258,1641,81.46998596,1641,115.4181824,1641,151.9452515,1641,84.43425751,
1640,158.9891968,1640,81.5432663,1640,115.6039276,1640,151.6778564,1640,84.37245178,
1639,158.9882965,1639,81.52438354,1639,115.4089584,1639,151.8898621,1639,84.41440582,
1638,159.1291504,1638,81.56153107,1638,115.6684875,1638,151.8633728,1638,84.45384216,
1637,159.1124725,1637,81.70294189,1637,115.5481186,1637,151.8549957,1637,84.39660645,
1636,159.3059845,1636,81.59540558,1636,115.6692734,1636,151.9373474,1636,84.50695038,
1635,159.1821442,1635,81.74120331,1635,115.5686493,1635,151.8224487,1635,84.3971405,
1634,159.3771057,1634,81.68199158,1634,115.6374969,1634,151.9334412,1634,84.48160553,
1633,159.2409515,1633,81.74770355,1633,115.6799088,1633,151.6590881,1633,84.37166595,
1632,159.3647308,1632,81.73265076,1632,115.6067047,1632,151.9941101,1632,84.48825073,
1631,159.4377899,1631,81.89447021,1631,115.8063507,1631,151.750061,1631,84.46342468,
1630,159.4921722,1630,81.87080383,1630,115.6548843,1630,151.8795624,1630,84.44862366,
1629,159.5454407,1629,81.85734558,1629,115.8397446,1629,151.7698822,1629,84.48390198,
1628,159.4850464,1628,81.95053101,1628,115.657196,1628,151.874649,1628,84.40664673,
1627,159.6452637,1627,81.91197205,1627,115.851799,1627,151.7951355,1627,84.43798828,
1626,159.4905853,1626,82.0670166,1626,115.7572174,1626,151.6730042,1626,84.34789276,
1625,159.7060242,1625,82.03347778,1625,115.8152924,1625,151.8863525,1625,84.49637604,
1624,159.6596832,1624,82.15606689,1624,115.8428879,1624,151.6874237,1624,84.39712524,
1623,159.7984619,1623,82.11083984,1623,115.7968979,1623,151.8786011,1623,84.4757843,
1622,159.7283783,1622,82.22758484,1622,115.8698578,1622,151.6427612,1622,84.35182953,
1621,159.7838593,1621,82.22242737,1621,115.7880096,1621,151.8756866,1621,84.4369278,
1620,159.8605957,1620,82.30364227,1620,115.9728317,1620,151.6746368,1620,84.42040253,
1619,159.8223572,1619,82.30905151,1619,115.7908707,1619,151.7981567,1619,84.39037323,
1618,159.9771423,1618,82.27529907,1618,115.9442673,1618,151.7663269,1618,84.47848511,
1617,159.8801575,1617,82.43267822,1617,115.8326874,1617,151.6441193,1617,84.36024475,
1616,160.0325775,1616,82.34477997,1616,115.9378891,1616,151.7038422,1616,84.44360352,
1615,159.8816376,1615,82.50886536,1615,115.855957,1615,151.5807343,1615,84.33882904,
1614,160.0697784,1614,82.49940491,1614,115.9204025,1614,151.8084106,1614,84.45119476,
