Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1667,191.2559357,1667,84.02400208,1667,125.9170151,1667,182.3323364,1667,98.78149414,
1666,191.7859497,1666,84.05672455,1666,126.3286743,1666,182.0106812,1666,98.82111359,
1665,191.9110413,1665,84.24571991,1665,126.4325104,1665,181.8441925,1665,98.76298523,
1664,192.0499268,1664,84.48639679,1664,126.4583817,1664,181.8856506,1664,98.47307587,
1663,191.9100494,1663,84.54000092,1663,126.2975464,1663,182.229538,1663,98.47233582,
1662,191.6778107,1662,84.55506134,1662,126.0020599,1662,182.6812134,1662,98.55871582,
1661,191.7734222,1661,84.41969299,1661,126.08358,1661,182.8031006,1661,98.90939331,
1660,191.9426117,1660,84.31171417,1660,126.2837143,1660,182.8929138,1660,99.06761169,
1659,192.4551849,1659,84.32590485,1659,126.6851807,1659,182.5355835,1659,99.0795517,
1658,192.6664124,1658,84.47621155,1658,126.796257,1658,182.3161926,1658,99.02914429,
1657,192.7266541,1657,84.69129944,1657,126.8072586,1657,182.298111,1657,98.7162323,
1656,192.6777649,1656,84.74314117,1656,126.6645813,1656,182.5885315,1656,98.7023468,
1655,192.3571777,1655,84.78199005,1655,126.3469238,1655,183.0910492,1655,98.76747131,
1654,192.4102478,1654,84.68106842,1654,126.353241,1654,183.1499023,1654,99.06994629,
1653,192.6176147,1653,84.55182648,1653,126.5536194,1653,183.1691437,1653,99.28954315,
1652,193.1710358,1652,84.54751587,1652,126.9346008,1652,182.896225,1652,99.30403137,
1651,193.4117126,1651,84.65335083,1651,127.0327911,1651,182.5556641,1651,99.27567291,
1650,193.4426117,1650,84.89052582,1650,127.0713348,1650,182.5814362,1650,99.01914978,
1649,193.3717651,1649,84.94272614,1649,126.9415131,1649,182.8331909,1649,98.96216583,
1648,193.0816803,1648,84.94919586,1648,126.6260147,1648,183.3518219,1648,99.02526093,
1647,193.059082,1647,84.8320694,1647,126.6063919,1647,183.4264069,1647,99.26682281,
1646,193.279068,1646,84.69385529,1646,126.728035,1646,183.394928,1646,99.49736786,
1645,193.77034,1645,84.72097015,1645,127.1119461,1645,183.0990295,1645,99.51994324,
1644,193.9758148,1644,84.81053925,1644,127.211174,1644,182.6920624,1644,99.49606323,
1643,193.9562378,1643,85.0607605,1643,127.195549,1643,182.7450867,1643,99.23582458,
1642,193.85672,1642,85.1219635,1642,127.0845566,1642,182.9798889,1642,99.12597656,
1641,193.5673523,1641,85.12553406,1641,126.7087936,1641,183.5059357,1641,99.17134094,
1640,193.5557556,1640,85.02616882,1640,126.6856766,1640,183.5767365,1640,99.38980103,
1639,193.7237549,1639,84.86967468,1639,126.7735596,1639,183.4792175,1639,99.61223602,
