0 6.92307692 13.8461538 20.7692308 27.6923077
536 1419 1419 1419 1419 1419
536 1423 1423 1423 1423 1423
536 1410 1410 1410 1410 1410
536 1419 1419 1419 1419 1419
536 1409 1409 1409 1409 1409
536 1419 1419 1419 1419 1419
536 1419 1419 1419 1419 1419
536 1411 1411 1411 1411 1411
536 1436 1436 1436 1436 1436
536 1437 1437 1437 1437 1437
536 1408 1408 1408 1408 1408
536 1405 1405 1405 1405 1405
536 1423 1423 1423 1423 1423
536 1428 1428 1428 1428 1428
536 1417 1417 1417 1417 1417
536 1421 1421 1421 1421 1421
536 1423 1423 1423 1423 1423
536 1413 1413 1413 1413 1413
536 1429 1429 1429 1429 1429
536 1423 1423 1423 1423 1423
536 1421 1421 1421 1421 1421
536 1435 1435 1435 1435 1435
536 1424 1424 1424 1424 1424
536 1423 1423 1423 1423 1423
536 1435 1435 1435 1435 1435
536 1428 1428 1428 1428 1428
536 1426 1426 1426 1426 1426
536 1413 1413 1413 1413 1413
536 1430 1430 1430 1430 1430
536 1416 1416 1416 1416 1416
536 1420 1420 1420 1420 1420
536 1419 1419 1419 1419 1419
536 1420 1420 1420 1420 1420
536 1412 1412 1412 1412 1412
536 1424 1424 1424 1424 1424
536 1428 1428 1428 1428 1428
536 1439 1439 1439 1439 1439
536 1456 1456 1456 1456 1456
536 1434 1434 1434 1434 1434
536 1448 1448 1448 1448 1448
536 1439 1439 1439 1439 1439
537 1443 1443 1443 1443 1443
537 1430 1430 1430 1430 1430
537 1433 1433 1433 1433 1433
537 1430 1430 1430 1430 1430
537 1432 1432 1432 1432 1432
537 1434 1434 1434 1434 1434
537 1450 1450 1450 1450 1450
537 1434 1434 1434 1434 1434
537 1440 1440 1440 1440 1440
537 1433 1433 1433 1433 1433
537 1458 1458 1458 1458 1458
537 1450 1450 1450 1450 1450
537 1451 1451 1451 1451 1451
537 1464 1464 1464 1464 1464
537 1456 1456 1456 1456 1456
537 1465 1465 1465 1465 1465
537 1448 1448 1448 1448 1448
537 1467 1467 1467 1467 1467
537 1459 1459 1459 1459 1459
537 1480 1480 1480 1480 1480
537 1478 1478 1478 1478 1478
537 1460 1460 1460 1460 1460
537 1488 1488 1488 1488 1488
537 1499 1499 1499 1499 1499
537 1505 1505 1505 1505 1505
537 1520 1520 1520 1520 1520
537 1533 1533 1533 1533 1533
537 1568 1568 1568 1568 1568
537 1581 1581 1581 1581 1581
537 1554 1554 1554 1554 1554
537 1546 1546 1546 1546 1546
537 1536 1536 1536 1536 1536
537 1515 1515 1515 1515 1515
537 1487 1487 1487 1487 1487
537 1475 1475 1475 1475 1475
537 1448 1448 1448 1448 1448
537 1453 1453 1453 1453 1453
537 1436 1436 1436 1436 1436
537 1467 1467 1467 1467 1467
537 1443 1443 1443 1443 1443
537 1442 1442 1442 1442 1442
537 1447 1447 1447 1447 1447
537 1437 1437 1437 1437 1437
537 1461 1461 1461 1461 1461
537 1448 1448 1448 1448 1448
537 1438 1438 1438 1438 1438
537 1445 1445 1445 1445 1445
537 1455 1455 1455 1455 1455
537 1452 1452 1452 1452 1452
537 1457 1457 1457 1457 1457
537 1462 1462 1462 1462 1462
537 1437 1437 1437 1437 1437
537 1455 1455 1455 1455 1455
537 1451 1451 1451 1451 1451
537 1479 1479 1479 1479 1479
537 1460 1460 1460 1460 1460
537 1468 1468 1468 1468 1468
537 1454 1454 1454 1454 1454
537 1465 1465 1465 1465 1465
537 1482 1482 1482 1482 1482
537 1476 1476 1476 1476 1476
537 1469 1469 1469 1469 1469
537 1461 1461 1461 1461 1461
537 1464 1464 1464 1464 1464
537 1485 1485 1485 1485 1485
537 1472 1472 1472 1472 1472
537 1484 1484 1484 1484 1484
537 1473 1473 1473 1473 1473
537 1473 1473 1473 1473 1473
537 1468 1468 1468 1468 1468
537 1484 1484 1484 1484 1484
537 1482 1482 1482 1482 1482
537 1470 1470 1470 1470 1470
537 1474 1474 1474 1474 1474
538 1490 1490 1490 1490 1490
538 1489 1489 1489 1489 1489
538 1487 1487 1487 1487 1487
538 1486 1486 1486 1486 1486
538 1481 1481 1481 1481 1481
538 1479 1479 1479 1479 1479
538 1484 1484 1484 1484 1484
538 1491 1491 1491 1491 1491
538 1494 1494 1494 1494 1494
538 1475 1475 1475 1475 1475
538 1485 1485 1485 1485 1485
538 1489 1489 1489 1489 1489
538 1505 1505 1505 1505 1505
538 1488 1488 1488 1488 1488
538 1500 1500 1500 1500 1500
538 1504 1504 1504 1504 1504
538 1507 1507 1507 1507 1507
538 1492 1492 1492 1492 1492
538 1495 1495 1495 1495 1495
538 1516 1516 1516 1516 1516
538 1505 1505 1505 1505 1505
538 1504 1504 1504 1504 1504
538 1514 1514 1514 1514 1514
538 1506 1506 1506 1506 1506
538 1527 1527 1527 1527 1527
538 1512 1512 1512 1512 1512
